1,12
2,12
3,13
4,13
5,13
6,14
7,13
8,13
9,14
10,14
11,14
12,15
13,14
14,15
15,16
16,17
17,18
18,19
19,18
20,18
21,20
22,19
23,18
24,17
1,16
2,15
3,14
4,15
5,15
6,15
7,15
8,16
9,16
10,16
11,16
12,17
13,17
14,17
15,17
16,18
17,18
18,18
19,19
20,17
21,16
22,15
23,14
24,11
1,11
2,12
3,11
4,10
5,9
6,11
7,11
8,10
9,9
10,7
11,9
12,10
13,11
14,11
15,11
16,10
17,9
18,10
19,10
20,11
21,11
22,10
23,11
24,11
1,8
2,13
3,12
4,13
5,12
6,8
7,7
8,12
9,14
10,9
11,8
12,8
13,14
14,8
15,12
16,10
17,10
18,8
19,12
20,10
21,14
22,11
23,10
24,10
